2026-06-17 15:35:24,931 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,936 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,939 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,944 INFO Added job "send_morning_messages" to job store "default"
2026-06-17 15:35:24,945 INFO Added job "check_task_notifications" to job store "default"
2026-06-17 15:35:24,946 INFO Added job "check_reminders" to job store "default"
2026-06-17 15:35:24,947 INFO Scheduler started
2026-06-17 15:35:24,947 INFO Notification scheduler started (Asia/Tashkent timezone)
2026-06-17 15:35:24,948 INFO Bot ishga tushdi...
2026-06-17 15:35:24,949 INFO Start polling
2026-06-17 15:35:25,362 INFO Run polling for bot @Mars_F2_1985_bot id=8218372259 - 'dars_uchun'
2026-06-17 21:20:24,960 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:21:24 +05)" executed successfully
2026-06-17 21:20:24,962 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:21:24 +05)" executed successfully
2026-06-17 21:21:24,945 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:22:24 +05)" (scheduled at 2026-06-17 21:21:24.936401+05:00)
2026-06-17 21:21:24,953 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:22:24 +05)" (scheduled at 2026-06-17 21:21:24.939426+05:00)
2026-06-17 21:21:24,954 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:22:24 +05)" executed successfully
2026-06-17 21:21:24,959 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:22:24 +05)" executed successfully
2026-06-17 21:22:24,960 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:23:24 +05)" (scheduled at 2026-06-17 21:22:24.936401+05:00)
2026-06-17 21:22:24,961 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:23:24 +05)" (scheduled at 2026-06-17 21:22:24.939426+05:00)
2026-06-17 21:22:24,966 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:23:24 +05)" executed successfully
2026-06-17 21:22:24,967 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:23:24 +05)" executed successfully
2026-06-17 21:23:24,940 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:24:24 +05)" (scheduled at 2026-06-17 21:23:24.936401+05:00)
2026-06-17 21:23:24,941 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:24:24 +05)" (scheduled at 2026-06-17 21:23:24.939426+05:00)
2026-06-17 21:23:24,948 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:24:24 +05)" executed successfully
2026-06-17 21:23:24,949 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:24:24 +05)" executed successfully
2026-06-17 21:24:24,948 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:25:24 +05)" (scheduled at 2026-06-17 21:24:24.936401+05:00)
2026-06-17 21:24:24,949 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:25:24 +05)" (scheduled at 2026-06-17 21:24:24.939426+05:00)
2026-06-17 21:24:24,960 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:25:24 +05)" executed successfully
2026-06-17 21:24:24,961 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:25:24 +05)" executed successfully
2026-06-17 21:25:24,942 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:26:24 +05)" (scheduled at 2026-06-17 21:25:24.936401+05:00)
2026-06-17 21:25:24,943 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:26:24 +05)" (scheduled at 2026-06-17 21:25:24.939426+05:00)
2026-06-17 21:25:24,948 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:26:24 +05)" executed successfully
2026-06-17 21:25:24,948 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:26:24 +05)" executed successfully
2026-06-17 21:26:24,965 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:27:24 +05)" (scheduled at 2026-06-17 21:26:24.936401+05:00)
